번호,대표음식명,에너지(㎉),탄수화물(g),단백질(g),지방(g),총당류(g),나트륨(㎎)
279,우엉조림,56.23,10.48,1.38,1.26,1.57,0
280,알감자조림,56.83,6.98,3.85,2.09,2.92,0
281,(검은)콩조림,59.22,7.75,3.57,1.94,2.92,0
282,콩조림,67.14,4.03,5.14,4,1.89,0
283,두부고추장조림,80.42,6.54,2.91,5.11,3.27,0
284,땅콩조림,382.13,30.57,12.69,22.54,0,0
285,미꾸라지튀김,311.26,21.83,11.83,19.64,0,0
286,새우튀김,646.21,57.38,24.5,37.09,0,0
287,생선가스,353.33,37.99,11.21,16.54,0,0
288,쥐포튀김,308.43,26.02,13.46,16.5,0,0
289,오징어튀김,323.25,24.21,18.34,15.56,1.74,0
290,닭강정,909.81,45.92,54.55,52.34,0,0
291,닭튀김,620.64,36.56,27.78,39.12,0,0
292,돈가스,457.35,31.86,22.29,25.89,0,0
293,모래집튀김,567.58,38.84,30.47,31.15,12.36,0
294,양념치킨,758.5,45.48,36.02,46.15,0,0
295,치즈돈가스,582.01,51.28,31.03,28.64,0,0
296,치킨가스,454.44,56.49,17.06,16.59,1.9,0
297,탕수육,585.08,43.36,27.8,33.34,13.94,0
298,깐풍기,462.11,50.1,6.24,25.76,0,0
299,감자튀김,490.93,90.19,3.3,13.53,1.43,0
300,고구마맛탕,241.57,34.1,3.21,10.8,0,0
301,고구마튀김,198.35,12.74,6.48,13.63,0,0
302,고추튀김,240.56,32.49,2.25,12.38,0,0
303,김말이튀김,311.99,36.35,3.01,18.53,0,0
304,채소튀김,81.35,16.43,3.09,2.07,5.09,0
305,노각무침,19.19,3.22,0.47,0.91,0.97,0
306,단무지무침,132.69,25.26,4.77,3.3,13.54,0
307,달래나물무침,220.89,48.44,4.89,2.74,31.54,0
308,더덕무침,165.23,38.59,4.15,1.71,3,0
309,도라지생채,43.05,9.87,0.4,0.35,1.4,0
310,도토리묵,38.12,9.35,0.98,0.28,3.28,0
311,마늘쫑무침,73.68,16,2.63,1.28,4.5,0
312,무생채,39.89,9.63,1.36,0.34,1.03,0
313,무말랭이,23.36,4.63,0.89,0.5,1.52,0
314,오이생채,124.3,19.47,3.82,5.41,8.37,0
315,파무침,130.62,17.99,5.65,6.25,2,0
316,상추겉절이,94.86,8.78,5.49,6.51,0,0
317,쑥갓나물무침,157.61,19.68,2.96,4.23,13.74,0
318,청포묵무침,87.29,13.83,6.63,1.55,7.49,0
319,해파리냉채,21.87,3.03,0.73,1.27,0,0
320,가지나물,43.51,3.8,1.97,3.26,0,0
321,고사리나물,54.68,5.34,0.67,3.82,0,0
322,도라지나물,34.58,3.04,0.58,2.56,0,0
323,무나물,28.34,2.56,0.99,2.14,0,0
324,미나리나물,19.51,1.56,1.31,1.35,0,0
325,숙주나물,37.51,3.82,2.07,2.37,0,0
326,시금치나물,72.94,3.46,1.6,6.71,0,0
327,취나물,24.13,1.15,1.64,1.98,0,0
328,콩나물,30.44,2.97,0.63,2.24,0,0
329,고구마줄기나물,126.11,10.28,5.08,8.66,1.5,0
330,우거지나물무침,107.35,15.56,7.91,2.3,6.06,0
331,골뱅이무침,81.01,12.19,4.71,4.12,6.93,0
332,김무침,24.94,5.7,1.07,0.54,4,0
333,미역초무침,332.05,31.33,37.37,5.8,18.02,0
334,북어채무침,311.59,42.88,27.18,4.26,26.41,0
335,회무침,53.39,10.18,2.77,0.2,6.6,0
336,쥐치채,31.59,5.43,2.34,0.69,0.9,0
337,파래무침,193.14,24.9,21.64,2.27,9.43,0
338,홍어무침,256.42,39.63,10.52,7.01,0,0
339,골뱅이국수무침,249.53,13.55,38.67,4.19,0,0
340,오징어무침,198.82,37.47,2.59,4.7,2.99,0
341,잡채,101.19,10.2,3.53,3.11,6.99,0
342,탕평채,27.64,5.21,1.98,0.7,0.42,0
343,갓김치,55.39,11.99,2.21,0.56,0,0
344,고들빼기,17.99,3.95,1,0.23,0.05,0
345,깍두기,124.49,23.27,6.1,3.16,2.99,0
346,깻잎김치,14.75,2.26,0.63,0.42,0.01,0
347,나박김치,57.69,14.26,2.7,0.64,0,0
348,동치미,21.24,4.48,0.94,0.5,1,0
349,배추겉절이,18.43,4.16,1.15,0.3,0.5,0
350,배추김치,19.8,4.38,0.8,0.26,0,0
351,백김치,32.91,6.29,1.88,0.57,3.49,0
352,부추김치,16.29,3.16,1.34,0.35,1.2,0
353,열무김치,16.57,3.03,1.27,0.4,0,0
354,열무얼갈이김치,16.67,2.96,0.94,0.53,1.2,0
355,오이소박이,17.56,3.44,1.03,0.37,0,0
356,총각김치,28.01,5.47,1.55,0.7,1,0
357,파김치,292.7,13.89,32.67,2.09,0.17,0
358,간장게장,28.27,6.19,1.05,0.13,2.35,0
359,마늘쫑장아찌,22.36,4.18,0.8,0.09,3,0
360,고추장아찌,33.64,7.87,2.11,0.36,2.78,0
361,깻잎장아찌,16.06,3.07,0.79,0.02,0.3,0
362,마늘장아찌,27.34,5.31,0.57,0.26,3.3,0
363,무장아찌,275.55,46.33,20.41,2.06,26.52,0
364,양념게장,19.72,3.54,0.58,0.05,1.5,0
365,양파장아찌,11.44,2.39,1.14,0.31,0,0
366,오이지,17,4.19,0.4,0.05,1.99,0
367,무피클,54,14.64,0.3,0.15,1.99,0
368,오이피클,3.9,0.66,0.11,0.16,0.23,0
369,단무지,6.83,0.29,1.24,0.1,0,0
370,오징어젓갈,12,0.27,2.05,0.3,0,0
371,명란젓,110.29,1,20.91,1.94,0,0
372,생연어,575.01,81.45,36.77,14.13,29.37,0
373,생선물회,116.2,9.34,17.2,1.36,5.46,0
374,광어회,169,9.34,19.28,6.16,5.46,0
375,훈제연어,236.56,15.95,25.03,8.05,7.04,0
376,육회,203.55,6.96,29.28,6.08,4.1,0
377,육사시미,205.04,45.05,3.52,0.33,0,0
378,가래떡,303.79,67.04,6.58,0.54,0,0
379,경단,225.92,50.36,3.24,0.76,9.58,0
380,꿀떡,223.62,49.03,5.5,0.28,5.99,0
381,시루떡,166.14,24.82,5.79,5.5,0,0
382,메밀전병,216.19,44.88,5.81,1.24,5.5,0
383,찰떡,218.18,48.7,4,0.87,6.99,0
384,무지개떡,218.82,48.2,4.04,0.79,11.99,0
385,백설기,234.9,46.82,4.17,2.7,1.52,0
386,송편,258.99,46.15,5.5,5.67,3,0
387,수수부꾸미,212.73,45.17,5.98,0.68,1,0
388,수수팥떡,238.06,54.64,4.53,0.45,9.99,0
389,쑥떡,232.21,48.88,3.83,2.27,7.99,0
390,약식,214.46,42.55,6.4,1.76,0,0
391,인절미,197.81,44.07,3.06,0.35,5,0
392,절편,198.69,44.22,2.54,0.34,15.98,0
393,증편,264.74,62.08,3.41,0.23,13.99,0
394,찹쌀떡,121.48,19.06,2.55,3.57,0,0
395,매작과,105.17,20.81,3.55,1.73,6.46,0
396,다식,113.85,22.18,2.57,1.24,2.15,0
397,약과,129.06,24.14,0.36,3.5,1.12,0
398,유과,121.7,24.7,0.91,1.2,10.63,0
399,산자,150.3,13.62,4.5,9.87,0,0
400,깨강정,0,0,0,0,0,0
