번호,대표음식명,에너지(㎉),탄수화물(g),단백질(g),지방(g),총당류(g),나트륨(㎎)
68,떡라면,548.8,83.2,14.1,17.8,0,0
69,라면,598.8,111.3,10,16,11,0
70,막국수,622.2,120.1,25.3,4.5,10.2,0
71,메밀국수,588.7,96.4,28.8,9.8,1.2,0
72,물냉면,610.7,114.5,16.7,9.6,11,0
73,비빔국수,542.9,91.5,23.7,9.1,2,0
74,비빔냉면,676.2,89.2,56.2,10.5,2,0
75,삼선우동,821.7,111.6,38.3,24.7,2,0
76,삼선자장면,635,89.3,39.2,13.4,3,0
77,삼선짬뽕,609.9,99.2,38.5,6.5,0,0
78,수제비,324.5,46.2,21.8,5.8,2.2,0
79,쌀국수,488.2,81.6,21.9,8.2,0,0
80,열무김치국수,605,99.2,14.7,16.6,0,0
81,오일소스스파게티,408.3,81.2,16.9,1.7,0.5,0
82,일식우동,577,93.4,14.4,16.2,1.4,0
83,볶음우동,808.6,134.3,15.7,23.2,8,0
84,자장면,555.8,104.7,20.3,6.2,0.4,0
85,잔치국수,698,118.5,25.5,13.5,0,0
86,짬뽕,702.5,88.8,31.4,24.6,0,0
87,짬뽕라면,555.2,110.8,12.4,6.9,22.1,0
88,쫄면,637,83.5,23.4,23.3,0,0
89,치즈라면,643.6,67.1,47.8,20.4,1,0
90,콩국수,829.9,85.9,19.4,45.4,0,0
91,크림소스스파게티,645.5,102.1,20.2,17.4,0,0
92,토마토소스스파게티,632.4,124.2,24.9,4,0,0
93,해물칼국수,687.5,131.9,20.2,8.8,22.7,0
94,회냉면,712.1,144,21.9,5.4,0,0
95,떡국,631.3,114,22.7,9.4,0,0
96,떡만둣국,436.8,63.8,12,14.8,0,0
97,짜장라면,460.2,55.3,18.7,18.2,0,0
98,고기만두,664.4,76.2,19.8,31.2,0,0
99,군만두,434.8,60.8,18.4,13.1,0,0
100,김치만두,157.9,20.5,5.9,5.8,0,0
101,물만두,424.4,53.3,19.2,14.9,0,0
102,만둣국,555.6,103.6,18.2,7.6,0,0
103,게살죽,508.7,71.1,13.4,18.9,0,0
104,깨죽,1107.5,92.5,75.9,48.2,0,0
105,닭죽,551.9,102.9,20.5,6.5,0,0
106,소고기버섯죽,478.7,90.5,15.5,6.1,0,0
107,어죽,860.9,153.8,15.8,20.3,0,0
108,잣죽,581.5,105,14.6,11.4,0,0
109,전복죽,652.7,105.9,26.1,13.8,0,0
110,참치죽,496.9,100.8,11.9,5.1,0,0
111,채소죽,490.4,100.7,20.6,0.6,4.8,0
112,팥죽,484.6,111.4,8.1,0.7,25.8,0
113,호박죽,290.9,35.4,5.8,14,0,0
114,콘스프,351.1,12.4,18.2,25.4,0,0
115,토마토스프,537,28.6,57,21.6,0,0
116,굴국,746.1,91.1,42.2,23.7,0,0
117,김치국,465.4,13.4,40.5,27.8,0,0
118,달걀국,588.7,92.5,42.5,5.4,0,0
119,감자국,481.2,32.9,18.9,30.4,0,0
120,미역국,384.8,21.3,64.6,4.6,0,0
121,바지락조개국,322.7,20.4,33.8,11.8,0,0
122,소고기무국,425.1,17.3,50.6,17.1,0,0
123,소고기미역국,552.6,22.8,41.2,32.9,0,0
124,순대국,694.8,92.9,57.1,10.5,0,0
125,어묵국,436.5,26.5,69.4,5.9,0,0
126,오징어국,499.8,85.2,23.9,7.1,0,0
127,토란국,682.6,18.1,84.6,30.2,0,0
128,탕국,485.9,35.3,50,16.1,0,0
129,홍합미역국,478.4,16,63,18,0,0
130,황태해장국,306.7,20.4,38.3,8,0,0
131,근대된장국,273.8,11.9,29,12.2,0,0
132,미소된장국,331.7,27.6,34.9,9.1,0,0
133,배추된장국,741.7,29.7,53.6,45.4,0,0
134,뼈다귀해장국,326.8,22.3,48.1,5,0,0
135,선지(해장)국,175.7,8.8,12.7,9.9,0,0
136,콩나물국,342.2,24.8,41.7,8.5,0,0
137,시금치된장국,739.6,74.8,70.1,17.8,0,0
138,시래기된장국,361.2,42.9,33,6.4,0,0
139,쑥된장국,285.8,24.9,30,7.4,0,0
140,아욱된장국,678.5,96,45.1,12.7,0,0
141,우거지된장국,419.4,37.2,35.5,14.3,0,0
142,우거지해장국,617.7,53,61.8,17.6,0,0
143,우렁된장국,591.2,20.5,46.7,35.8,0,0
144,갈비탕,965.3,49.6,60.6,58.3,0.9,0
145,감자탕,443.3,13.62,41.5,13.6,0,0
146,곰탕,418,18.8,37.2,21.6,1.6,0
147,매운탕,738.4,10.9,54.9,52.8,0,0
148,꼬리곰탕,648.2,51.9,79.2,13.7,0,0
149,꽃게탕,471.2,29.4,73,6.8,0,0
150,낙지탕,566.3,13.7,57,31.5,0,0
151,내장탕,514.3,15.4,58.9,24.1,0,0
152,닭곰탕,368,19.2,33.8,17.3,2,0
153,닭볶음탕,676.7,26.3,95.9,20.9,0,0
154,지리탕,553.6,5.6,54.6,34.8,0,0
155,도가니탕,848,44.1,76.6,40.6,0,0
156,삼계탕,418.4,10.9,52.7,18.2,0,0
157,설렁탕,457.7,49.5,49.2,7,14.8,0
158,알탕,536,21.6,91.6,9.2,0,0
159,연포탕,464.2,24.2,43.2,21.6,1,0
160,오리탕,350.8,24.4,37.4,11.5,1.8,0
161,추어탕,689.2,48.9,104.4,8.4,3.9,0
162,해물탕,346.2,19.2,33.7,15,0,0
163,닭개장,153.1,11.6,13.4,5.9,0,0
164,육개장,707.8,25.4,67.9,37.2,0,0
165,뼈해장국,1022,177.7,50.5,12.2,80.9,0
166,미역오이냉국,618.6,32,59.2,28.2,0,0
167,고등어찌개,362.2,14.5,29.5,20.7,0.7,0
168,꽁치찌개,384.2,18.9,59.6,7.8,1.4,0
169,동태찌개,554.4,46.8,27.7,28.5,0,0
170,부대찌개,735,80,58,26,0,0
171,된장찌개,732.8,37.4,64.6,36.1,0,0
172,청국장찌개,353.8,16.2,29.2,19.2,0.9,0
173,두부전골,573.5,26.9,38.4,34.7,0,0
174,곱창전골,529.8,41.4,48.7,18.8,0,0
175,소고기전골,650.4,66.9,45.3,22.4,4,0
176,국수전골,659.2,23.3,38.8,45.7,0,0
177,돼지고기김치찌개,488.2,38.2,41.6,18.8,0,0
178,버섯찌개,546.9,33.3,42.2,27.2,0,0
179,참치김치찌개,550.7,22,36.8,35.1,0,0
180,순두부찌개,693,61.3,39.9,32,0,0
181,콩비지찌개,511,38.6,29.1,26.7,0,0
182,햄김치찌개,722,89.2,54.5,16.4,14.4,0
183,호박찌개,734.9,50.2,64,30.9,0,0
184,고추장찌개,397.9,26.4,54.1,8.4,0,0
185,대구찜,300.5,1.9,52.5,9.2,0,0
186,도미찜,159.6,0.4,35.4,1.8,0,0
187,문어숙회,325.9,17.6,48.8,6.7,0,0
188,아귀찜,447.8,4.5,55.7,23,0.8,0
